NumberOfCubes,MinSurface,MaxSurface
1611,2166,6446
1612,1158,6450
1613,6454,6454
1614,2702,6458
1615,1006,6462
1616,1648,6466
1617,910,6470
1618,4858,6474
1619,6478,6478
1620,846,6482
1621,6486,6486
1622,4870,6490
1623,4334,6494
1624,982,6498
1625,1030,6502
1626,2722,6506
1627,6510,6510
1628,1198,6514
1629,2190,6518
1630,2302,6522
1631,3742,6526
1632,872,6530
1633,3454,6534
1634,1882,6538
1635,1774,6542
1636,3280,6546
1637,6550,6550
1638,850,6554
1639,3598,6558
1640,1146,6562
1641,4382,6566
1642,4930,6570
1643,3454,6574
1644,1942,6578
1645,1198,6582
1646,4942,6586
1647,1518,6590
1648,1680,6594
1649,3526,6598
1650,850,6602
1651,3582,6606
1652,1354,6610
1653,1390,6614
1654,4966,6618
1655,3982,6622
1656,926,6626
1657,6630,6630
1658,4978,6634
1659,1622,6638
1660,1534,6642
1661,3646,6646
1662,2782,6650
1663,6654,6654
1664,880,6658
1665,1126,6662
1666,910,6666
1667,6670,6670
1668,1970,6674
1669,6678,6678
1670,2358,6682
1671,4462,6686
1672,898,6690
1673,3838,6694
1674,1038,6698
1675,1390,6702
1676,3360,6706
1677,1454,6710
1678,5038,6714
1679,3550,6718
1680,856,6722
1681,3526,6726
1682,1914,6730
1683,878,6734
1684,3376,6738
1685,4054,6742
1686,2822,6746
1687,3870,6750
1688,2548,6754
1689,4510,6758
1690,858,6762
1691,3598,6766
1692,1200,6770
1693,6774,6774
1694,858,6778
1695,1838,6782
1696,1336,6786
1697,6790,6790
1698,2842,6794
1699,6798,6798
1700,880,6802
1701,918,6806
1702,1942,6810
1703,3694,6814
1704,1468,6818
1705,1102,6822
1706,5122,6826
1707,4558,6830
1708,1398,6834
1709,6838,6838
1710,902,6842
1711,3598,6846
1712,1744,6850
1713,4574,6854
1714,5146,6858
1715,1078,6862
1716,862,6866
1717,3670,6870
1718,5158,6874
1719,2310,6878
1720,1198,6882
1721,6886,6886
1722,1150,6890
1723,6894,6894
1724,3456,6898
1725,1070,6902
1726,5182,6906
1727,3790,6910
1728,864,6914
1729,942,6918
1730,2442,6922
1731,4622,6926
1732,3472,6930
1733,6934,6934
1734,986,6938
1735,4174,6942
1736,1042,6946
1737,2334,6950
1738,2098,6954
1739,3646,6958
1740,1048,6962
1741,6966,6966
1742,2062,6970
1743,1702,6974
1744,1776,6978
1745,4198,6982
1746,1782,6986
1747,6990,6990
1748,1210,6994
1749,1550,6998
1750,990,7002
1751,3742,7006
1752,1508,7010
1753,7014,7014
1754,5266,7018
1755,894,7022
1756,3520,7026
1757,4030,7030
1758,2942,7034
1759,7038,7038
1760,892,7042
1761,4702,7046
1762,5290,7050
1763,3694,7054
1764,896,7058
1765,4246,7062
1766,5302,7066
1767,1478,7070
1768,922,7074
1769,3718,7078
1770,1358,7082
1771,982,7086
1772,3552,7090
